GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BankAccountExample,nyuad.cs.se.bank,BankAccount,50,24,8,2,8,8,7,3,2,3
BankAccountExample,nyuad.cs.se.bank,Main,7,0,0,0,3,0,2,0,2,0
